file,before_pct,after_pct,delta_pct
lib/core/performance/performance_monitor.dart,0.00,87.58,87.58
lib/core/performance/performance_observer.dart,0.00,95.16,95.16
lib/core/router.dart,0.60,12.42,11.82
lib/core/security/secure_logger.dart,0.00,96.61,96.61
lib/core/services/push_notification_service.dart,0.00,78.92,78.92
lib/core/theme/app_theme_mode.dart,0.00,100.00,100.00
lib/data/models/favourites.dart,18.31,97.18,78.87
lib/data/models/profile_reaction.dart,1.75,77.19,75.44
lib/data/models/profile_story.dart,0.00,95.89,95.89
lib/design_system/animations/ds_animations.dart,0.00,87.50,87.50
lib/design_system/utils/accessibility.dart,0.00,78.62,78.62
lib/design_system/utils/page_transitions.dart,0.00,94.12,94.12
lib/features/analytics/data/models/profile_insights.dart,0.77,98.46,97.69
lib/features/analytics/data/services/profile_insights_service.dart,0.00,95.24,95.24
lib/features/calls/data/models/call.dart,0.00,97.83,97.83
lib/features/calls/data/services/call_service.dart,0.00,86.79,86.79
lib/features/chat/presentation/bloc/match_chat_settings_cubit.dart,0.00,79.17,79.17
lib/features/discovery/data/models/incognito_settings.dart,33.93,100.00,66.07
lib/features/discovery/data/models/weekly_picks.dart,23.26,89.15,65.89
lib/features/discovery/presentation/bloc/discovery_settings_cubit.dart,0.00,85.78,85.78
lib/features/profile/data/services/profile_media_service.dart,0.00,61.39,61.39
lib/features/profile/data/services/profile_validation_service.dart,0.00,88.46,88.46
lib/features/safety/data/models/date_plan.dart,0.00,98.37,98.37
lib/features/safety/data/services/date_plan_service.dart,0.00,84.80,84.80
lib/features/settings/presentation/bloc/chat_settings_cubit.dart,0.00,81.82,81.82
lib/features/settings/presentation/bloc/notification_settings_cubit.dart,0.00,100.00,100.00
lib/features/settings/presentation/bloc/privacy_settings_cubit.dart,0.00,100.00,100.00
lib/features/settings/presentation/bloc/theme_cubit.dart,0.00,100.00,100.00
lib/core/services/in_app_review_service.dart,0.00,96.23,96.23
lib/design_system/tokens/breakpoints.dart,0.00,96.15,96.15
lib/design_system/utils/haptics.dart,0.00,96.97,96.97
lib/features/auth/data/repositories/impl/stub_auth_repository.dart,34.04,51.45,17.41
lib/features/chat/data/repositories/impl/stub_chat_repository.dart,59.56,61.22,1.66
lib/config/support_config.dart,5.26,23.68,18.42
lib/core/accessibility/semantics_helper.dart,13.04,93.48,80.44
lib/core/services/crash_reporting_service.dart,0.00,44.30,44.30
lib/core/services/haptic_service.dart,3.39,98.31,94.92
lib/core/services/location_service.dart,3.92,8.82,4.90
lib/data/models/match.dart,9.09,86.36,77.27
lib/data/models/profile_prompt.dart,11.32,96.23,84.91
lib/features/discovery/data/services/realtime_match_service.dart,0.00,18.42,18.42
lib/features/discovery/data/services/story_service.dart,11.11,90.28,79.17
lib/config/support_config.dart,23.68,92.11,68.43
lib/core/app_logger.dart,42.11,94.74,52.63
lib/core/services/analytics_service.dart,3.12,99.11,95.99
lib/core/services/location_service.dart,8.82,91.18,82.36
lib/features/chat/data/services/voice_recorder_service.dart,0.00,94.83,94.83
lib/config/support_config.dart,23.68,92.11,68.43
lib/core/app_logger.dart,42.11,94.74,52.63
lib/core/services/analytics_service.dart,3.12,100.00,96.88
lib/core/services/location_service.dart,8.82,91.18,82.36
lib/features/chat/data/services/voice_recorder_service.dart,0.00,94.83,94.83
lib/design_system/theme/app_theme.dart,0.00,100.00,100.00
lib/design_system/tokens/typography.dart,0.00,100.00,100.00
lib/design_system/tokens/colors.dart,41.94,93.55,51.61
lib/features/discovery/data/models/daily_likes_limit.dart,49.25,98.51,49.26
lib/features/social/data/models/compatibility_quiz.dart,47.85,69.94,22.09
lib/core/security/session_manager.dart,42.25,85.92,43.67
lib/core/router.dart,12.42,39.09,26.67
lib/features/discovery/data/services/realtime_match_service.dart,18.42,83.33,64.91
lib/core/services/tracking_consent_service.dart,38.10,66.67,28.57
lib/design_system/theme/app_theme.dart,0.00,100.00,100.00
lib/design_system/tokens/typography.dart,0.00,100.00,100.00
lib/design_system/tokens/colors.dart,41.94,93.55,51.61
lib/core/router.dart,12.42,52.12,39.70
lib/features/discovery/data/services/realtime_match_service.dart,18.42,83.33,64.91
lib/core/services/tracking_consent_service.dart,38.10,66.67,28.57
lib/design_system/theme/app_theme.dart,0.00,100.00,100.00
lib/design_system/tokens/typography.dart,0.00,100.00,100.00
lib/design_system/tokens/colors.dart,41.94,93.55,51.61
lib/core/router.dart,12.42,62.42,50.00
